s,np,sequential_np_us,parallel_us,baseline_us,speedup,efficiency
4096,1,24.042,14.137,24.042,1.7006,1.7006
4096,2,14.909,8.185,24.042,2.9373,1.4687
4096,4,13.620,4.510,24.042,5.3308,1.3327
4096,8,38.103,5.963,24.042,4.0319,0.5040
16384,1,60.536,62.858,60.536,0.9631,0.9631
16384,2,61.822,28.812,60.536,2.1011,1.0505
16384,4,57.493,17.106,60.536,3.5389,0.8847
16384,8,132.871,21.947,60.536,2.7583,0.3448
65536,1,229.413,234.550,229.413,0.9781,0.9781
65536,2,230.973,132.772,229.413,1.7279,0.8639
65536,4,254.247,80.011,229.413,2.8673,0.7168
65536,8,683.623,94.697,229.413,2.4226,0.3028
262144,1,1230.096,1235.825,1230.096,0.9954,0.9954
262144,2,1289.887,729.464,1230.096,1.6863,0.8432
262144,4,1399.767,458.552,1230.096,2.6826,0.6706
262144,8,3102.078,431.736,1230.096,2.8492,0.3561
1048576,1,5235.154,5303.306,5235.154,0.9871,0.9871
1048576,2,5068.975,2851.193,5235.154,1.8361,0.9181
1048576,4,7045.047,2709.686,5235.154,1.9320,0.4830
1048576,8,12725.129,2272.939,5235.154,2.3033,0.2879
